input_note_id	en1	part_of_speech	cat	de_cat	allch	dech	de1	de_pronun	de2	de1_hint	de_notes	de3	de3_prompt	de_conf	at1	sd1	dib_sentences	de_xref	de_xref_ignore_ch	comments
20	single mother	N	FAM		9.2		alleinerziehende Mutter							VBZIEHEN						(1) See Comment (2) on ‘get dressed’ note for explanation of de_conf=’VBZIEHEN’. This is part_of_speech='N' and `de2` is empty, so the example program will put the record in the de2_problems.txt problem listing.
21	raise children	V	FAM		9.2		Kinder erziehen		sg					VBZIEHEN						See Comment (2) on ‘get dressed’ note for explanation of de_conf=’VBZIEHEN’. See ‘dream’ note for explanation of de3=’sg’.
22	roll (of bread)	N	FOOD		3.2		das Brötchen		-						die Semmel (-n)	die Semmel (-n)				An example with alternate words commonly used in Austria and Switzerland (although actually 'die Semmel' is an Austrian word we have included in both fields for testing). Typically the front side of the note when studying a card indicates the number of tokens in `de1` not marked with ‘°’, but when `at1` or `sd1` is populated, the number of tokens in the `at1` and/or `sd1` fields are also given.
23	which (question-word)	A			2.53,1.54		welch-											welcher; welches; welche; welchen		Determiners or adjectives used only attributively may be presented in different reference lists with different endings (welcher, welche).
24	face	N	BODY		7.4		das Gesicht		-er			sich das Gesicht waschen (sich D); die Gesichtscreme (-s)	wash one’s ~; ~ cream	das Gericht (-e) = dish, meal						(1) Tildes can be used to replace the translation of the headword in `de3_prompt`. They could also be used to replace the headword in the expressions in `de3`, but this should only be done if there is no audio file to link to, which is not the case here. (2) `de_conf`is used to indicate an unrelated German word that we might confuse the answer with.
25	dish, meal	N	FOOD		3.5		das Gericht		-e					das Gesicht (-er) = face						`de_conf` is used to indicate an unrelated German word that we might confuse the answer with.
26	calorie	A	MED		7.1		die Kalorie	Kalor[[ie]] (-ee), Kalor[[i]]en	-n			kalorienarm; kalorienreich°	low in calories; high in calories°							Answers marked with ‘°’ are optional in the sense that we try to say the answer, but if we do not consider the card wrong if we cannot produce the answer. We may in the future add code to generate cards for each such token marked with ° where the prompt is the German expression and the answer is the corresponding token in `de3_prompt`, so it is recommended to keep the same number of tokens in these fields when ‘°’ is used.
27	the Netherlands	N	GEO		1.5		die Niederlande (Pl.), Holland (ugs)°		___, ___			in die Niederlande reisen; in den Niederlanden wohnen	travel to ~; live in ~							Answers marked with ‘°’ are optional in the sense that we try to say the answer, but if we do not consider the card wrong if we cannot produce the answer. The example program generates a field that will be one of the rows in the prompt (the front of the flashcard) as ‘N1/N2’ where N1 is the count of tokens in DE1 not marked with ‘°’ and N2 is the total number of tokens in `de1`. If N1=N2, then the prompt is ‘N1’. (2) ‘(ugs)’ in `de1` is an abbreviation for ‘umgangssprache’ (informal speech)
28	comedy	N	AV		4.9		die Komödie	Kom[[ö]]die (-ee-uh)	-n											Nouns ending in ‘-ie’ can have either an IPA ‘iː’ or ‘i̯ə’ sound. We indicate this in the example as ‘(-ee)’ or ‘(-ee-uh)’ in `de_pronun`. See also note for ‘calorie’.
29	crazy	A	PQ		4.11,10.51,5.2		verrückt, wahnsinnig, irre (ugs)°					3=1								There are several words meaning ‘crazy’. See ‘the Netherlands’ note for meaning of ‘°’ and ‘(ugs)’. In `de3`, the ‘3=1’ shorthand is used to indicate the third token in `de1` has the same meaning as the first. In the future, the package may be updated to automatically generate notes for study from such shorthand. The words ‘verrückt’ and ‘wahnsinning’ are not synonyms, and so a learner would typically find the difference in meanings and put the answer in `de3`.
30	siblings	N	FAM		5.1		die Geschwister (Pl.)		___			nur Plural								A word with no singular form widely used in German, so it is entered in the plural form. The card could also be constructed with the rare singular form in `de1` and a note in `de3`, as was done above for the ‘butterfly’ note. This latter case might be better if the learner has other languages in their source spreadsheet, in which case ‘sibling’ in the singular likely exists in those languages.
31	Italy	N	GEO		1.5		Italien		___											A noun with no plural. As on other notes, ‘___’ or some other convention set by the user (‘_’, ‘<>’) can indicate no plural exists. A learner could even choose to use different strings for different situations (e.g., singular word in `de1` with no plural is '<>', whereas if the plural form is in `de1`, then put '___' in `de2`), but we do not do this.
32	look forward to (sth)	V			7.51		sich auf etw A freuen		wk: freut sich auf etw A			ich freue mich auf (etw A)	I am looking forward to (sth)					sich freuen		The learner must choose a convention for how to record reflexive verbs in `de1`, and especially reflexive verbs with additional complements. We adopt the convention to present the reflexive pronoun and other complements before the infinitive when the verb is reflexive. For non-reflexive verbs, objects are in parentheses after the verb. It is a good idea to have expressions in `de3` that give conjugated expressions for such reflexive verbs so that learners practice the right order for the conjugated form as well. It may be that a different resource presents the headword as 'sich freuen', and therefore this string is in `de_xref`.
33	help	V		DDO	6.51		helfen (jdm/etw)		hilft, half, geholfen											DE1 indicates the objects of the verbs, indicating that the person being helped would be in the dative case. This is also indicated by the ‘DDO’ value in `de_cat`.
34	relative, family member	N	FAM		5.1		der/die Verwandte(r), das Familienmitglied		-n/-, -er											Adjectives declined as nouns are presented as ‘der/die ...(r)’, with ‘-n/-’ plural.
35	against	A			2.54		gegen [acc.]					gegen X rebellieren; was hast du gegen mich?	rebel against X; what do you have against me?							The case taken by the preposition is given in `de1`. `de3` would also have some typical key examples.
36	yoghurt	N	FOOD		3.2		der Joghurt		-s		das Joghurt used in N Germany									No prompt for `de3` information is added in `de_add_en`. Therefore, we will consider the card correct even if we do not identify the regional differences when studying the card.
37	expensive	A			4.11,6,8.51,8.52		teuer		teurer, die teuerste/am teuersten			sauteuer	very expensive (but not: ‘sehr ~’)							If comparative or superlative is irregular or umlauts, then comparative and superlative forms are listed in `de2`.
38	hard, tough	A			8.51		hart		härter, die härteste/am härtesten											If comparative or superlative is irregular or umlauts, then comparative and superlative forms are listed in `de2`.
39	unconscious	A	MED		7.7		bewusstlos													
40	salty	A	FOOD		8.51		salzig													Adjectives with regular comparative and superlative forms have `de2` empty.
41	novel	N	READ		F3	F3	der Roman		-e											An example where `dech` is not a number. In our example, we use numbers in `dech` to indicate the chapter in the first book we use to study (Deutsch im Blick). For chapter(s) from the next book(s) or resource(s) used after Deutsch im Blick, we must add some prefix and the example program shows how to convert this to a number. (For example, Chapters 1-10 in Book ‘F’ are converted to Chapters 11-20 in the program ouptut so that each numeric chapter refers only one book/resource.) This word is actually in Chapter 10 of Deutsch im Blick, but for testing, we pretend it is in Chapter 3 of Book F. 
42	crosswalk	N	CITY				der Zebrastreifen		-											This word is also actually in Chapter 10 of Deutsch im Blick, but for testing we omit the chapter assignment and omit the word from the reference list. A word not in any reference list and dech='' will have the chapter assigned to the default maximum by the program.
43	pink	A	COLOR		1.9		rosa		no comp. or endings											If comparative and superlatives do not exist, this is mentioned in `de2`
44	partner	N																		
45	talk about the weather	V	UNI		6		über das Wetter sprechen		wk										sprechen	This note is just to illustrate the `de_xref_audio` field. We pretend we don't have audio for 'über das Wetter sprechen' (Chapter 6) but do for 'sprechen' (Chapter 2). We would like to hear the pronunciation of 'sprechen' without having the chapter for 'sprechen' assigned to this note.
