id,english,tigrina,usewith,registeredby
545,Ambulance Dispatchers,ናይ ህጹጽ ወይ ዘይ ህጹጽ እዋን ተለፎን ኦፐሬቶር,,gide
546,Ambulance Drivers and Attendants (Except Emergency Medical Technicians),ኣምቡላንስ ዶኸንቲን ኣቴንስ (Ambulance Drivers and Attendants (Except Emergency Medical Technicians)),,gide
547,Amusement and Recreation Attendants,ናይ ምዝንጋዕ ተኣከብቲ,,gide
548,Animal Care and Service Workers,ክንክን እንስሳታትን ዕዮን,,gide
549,Animal Control Workers,ሰራሕተኛታት እንስሳ,,gide
550,Announcers,ኣናውንሰር,,gide
551,Anthropologists,ገበርቲ ሰናይ,,gide
552,Appraisers and Assessors of Real Estate,መዋዓዋዕቲን ገምገምቲን ናይ ሓቂ ኣዕሩኽ,,gide
553,Arbitrators,ሃንደስቲ,,gide
554,Archeologists,ናይ አርቺ መርመራታት,,gide
555,Architects,ኣርክተክትስ,,gide
556,Architectural Managers,ኣካየድቲ ስነ ህንጻ,,gide
557,Archivists,ኣርቺቪቲካውያን,,gide
558,Art Directors,መምርሒ ኢደ ጥበብ,,gide
559,Assemblers,ኣጋጣጠምቲ,,gide
560,Astronomers,ተመራመርቲ ስነ-ኰዀብ,,gide
561,Athletes and Sports Competitors,ስፖርተኛታትን ናይ ስፖርት ተወዳደርትን,,gide
562,Athletic Trainers,ኣሰልጠንቲ ኣትለቲክስ,,gide
563,Atmospheric Scientists,ተመራመርቲ ስነ ፍልጠት ጠፈር,,gide
564,Attorneys,ኣርማድዮ,,gide
565,Audio and Video Technicians,ናይ ኦድዮን ቪድዮን ቴክኒካት,,gide
566,Audiologists,ኣዱሊስ,,gide
567,Auditing Clerks,ኣቕሽሽቲ ኦዲት ምግባር,,gide
568,Auditors,ኦዲተራት,,gide
569,Authors,ደረስቲ,,gide
570,Automated Teller Machine (ATM) Repairers,ብማኪና ዝተሰርሓ ጨረር ማሽን  ጽገናታት(Automated Teller Machine (ATM) Repairers),,gide
571,Automotive and Watercraft Service Attendants,ጋራዥ ኣገልግሎት ኣስማት,,gide
572,Automotive Body and Glass Repairers,ጋራዥ ሰብነትን ጽገና ግላስን,,gide
573,Automotive Service Technicians and Mechanics,ጋራጃት ቴክኒሻናትን መካኒካንን,,gide
574,Avionics Equipment Mechanics and Technicians,ስነ-ጽባቐክስ ማዕቐብ መካኒክን ቴክኒሻናትን,,gide
575,Baggage Porters and Bellhops,ቦርሳ ሪፖርተራትን ቤልሆፕስን,,gide
576,Bailiffs,በረድ,,gide
577,Bakers,ሰንከትቲ,,gide
578,Barbers,ቀምቀምቲ ወይ ቆነንቲ,,gide
579,Bartenders,ባርተንደር,,gide
580,Behavioral Disorder Counselors,ናይ ባህሪ ጸገማት ምኽሪ,,gide
581,Benefits Managers,ኣካየድቲ ጥቕሚ,,gide
582,Bicycle Repairers,ጽገና ብሽክለታ,,gide
583,Bill Collectors,ሕብሪ ቘርበት,,gide
584,Biochemists and Biophysicists,ባዮከሚከኛታትን ባዮፊዚከኛታትን,,gide
585,Biological Scientists (all other),ስነ-ህይወታዊ ስነ-ፍልጠተኛታት (Biological Scientists (all other)),,gide
586,Biological Technicians,ባዮሎጂካዊ ቴክኒካት,,gide
587,Biomedical Engineers,ኣብ ላዕሊ እተጠቕሱ ሰባት,,gide
588,Biomedical Engineers,ኣብ ላዕሊ እተጠቕሱ ሰባት,,gide
589,Blockmasons,መባርቕ,,gide
590,Boiler Operators,ተሽከርካሪ,,gide
591,Boilermakers,ተሽከርካሪ,,gide
592,Bookkeeping Clerks,ዓቃብ መጻሕፍቲ,,gide
593,Bookkeeping, Accounting, and Auditing Clerks,ምዕቃብ መጽሓፍን ሕሳብን ኣቕሽሽትን,,gide
594,Brazers,ብራዘርስ,,gide
595,Brickmasons,ወርቃዊ መገድታት,,gide
596,Bridge and Lock Tenders,ድልድልን ሎክ ጅማውትን,,gide
597,Broadcast Engineering Technicians,ኢንጂነሪንግ ተክኒሻናት ፈነወ,,gide
598,Budget Analysts,ተንተንቲ ባጀት,,gide
599,Building Cleaners,ኣጽረይቲ ህንጻ,,gide
600,Building Cleaning Workers (all other),ናይ ጽሬት ሰራሕተኛታት ኣብ ህንጻ),,gide
601,Building Inspectors,ተቖጻጸርቲ ህንጻ,,gide
602,Bus Drivers,ናይ ኣውቶቡስ ኣውቲስታ,,gide
603,Business Operations Specialists (all other),ክኢላ ዕዮ ንግዲ),,gide
604,Butchers,ሰራሕተኛ እንዳ ስጋ,,gide
605,Buyers,ዕድጊ,,gide
606,Camera and Photographic Equipment Repairers,ምዕራይ ካሜራን ናይ ስእሊ ዕጥቂን,,gide
607,Camera Operators,ኦፕሬተራት ካሜራ,,gide
608,Cardiovascular Technologists and Technicians,ክኢላታት ቴክኒክን ሞያን ልቢ,,gide
609,Career and Technical Education Teachers,ሞያውያንን ቴክኒካውያንን መምህራን,,gide
610,Career Counselors,ምኽሪ ሞያ,,gide
611,Cargo and Freight Agents,ናይ ጽዕነትን ናይ ጽዕነትን ምጕዕዓዝ ኣጋፍዓን,,gide
612,Carpenters,ጸረብቲ ወይ ካርፐንተር,,gide
613,Carpet Installers,ኣንጻፋይ,,gide
614,Cartographers,ኣዳለውቲ ካርታ,,gide
615,Cashiers,ካሽር tehazi genzeb,,gide
616,Ceiling Tile Installers,ናሕሲ ኣብ መጻወድያታት መጋጠሚ,,gide
617,Cement Masons,ነዳቓይ ስሚንቶ,,gide
618,Chauffeurs,ኣውቲስታ,,gide
619,Chefs,ኣዳላዊ መግቢ ኣብ ቤት መግብታት,,gide
620,Chemical Engineers,ኬሚካል ኢንግጅነር,,gide
621,Chemical Equipment Operators and Tenders,ናይ ኬሚካል መሳርሒታትን ጅማውትን ኦፐሬቶር,,gide
622,Chemical Plant and System Operators,መደበር ከሚካልን ተክኒከሽንን ኦፐሬቶር,,gide
623,Chemical Technicians,ናይ ኬሚካል ቴክኒሻን,,gide
624,Chemists,ኬሚስት,,gide
625,Childcare Center Directors,ዳይረክተር ማእከል ክንክን ህጻናት,,gide
626,Childcare Workers,ሰራሕተኛታት መውዓሊ ህጻናት,,gide
627,Chiropractors,ስነ ክንክ ኣዕጽምትን ጭዋዳታትን,,gide
628,Choreographers,ኮረግራፈር,,gide
629,Civil Engineering Technicians,ሲቪል ኢንጂነሪንግ ተክኒሻን,,gide
630,Civil Engineers,ስቪል ሰርቪስ ኢንጂነራት,,gide
631,Claims Adjusters, Appraisers, Examiners, and Investigators,ኣወሃሃድቲ ጥርዓናት፣መርመርትን,,gide
632,Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders,ምጽራይን ምሕጻብን መታልሕን ናይ ምዕጣቕ ኦፕሬተራትን ጅማውትን,,gide
633,Clergy,ቀሺ,,gide
634,Clerks,ጸሓፊ,,gide
635,Clinical Laboratory Technologists and Technicians,ክኢላታት ላቦራቶሪ ቴክኒክን ሞያን,,gide
636,Coaches and Scouts,ኣሰልጠንቲን ስካውትን,,gide
637,Coating Workers,ለኻዪ ሕብርን ኣጸባባቕን,,gide
638,Commercial Designers,ነደፍቲ ንግዲ,,gide
639,Commercial Divers,ንግዳዊ ንጥፈታት ዘካዪድ,,gide
640,Commodities Sales Agents,ወኪል ዝሸዪጥ ዝልውጥ ን ዓበይቲ ነገራት,,gide
641,Communications Equipment Operators,ናይ መራኸቢ ማዕቐባት ተክኒካት,,gide
642,Community and Social Service Specialists,ናይ ማሕበረሰብን ማሕበራዊ ኣገልግሎትን ክኢላታት,,gide
643,Community Association Managers,ኣካየድቲ ማሕበር ማሕበረሰብ,,gide
644,Community Health Workers,ሰራሕተኛ ማሕበረሰብ,,gide
645,Community Service Managers,ኣካያዲ ኮማዊ ኣገልግሎት,,gide
646,Compensation and Benefits Managers,ኣካያዲ ካሕሳን መኽሰባትን,,gide
647,Compensation, Benefits, and Job Analysis Specialists,ናይ ካሕሳ ኣታዊታትን ናይ ስራሕ ምርምር ኪኢላን,,gide
648,Compliance Officers,መኰንናት ጥርዓን,,gide
649,Composers - Music,ኮምፖዘር ናይ ሙዚቓ,,gide
650,Computer Control Programmers and Operators,ናይ ኮምፕዩተር ኦፕሬተር,,gide
651,Computer Hardware Engineers,ናይ ኮምፒተር ክእለት ኢንጂነሪን,,gide
652,Computer Managers,ኣካየድቲ ኮምፒዩተርkomputer managerat(Computer Managers),,gide
653,Computer Network Architects,ንድፊ ኮምፒዩተር,,gide
654,Computer Occupations (all other),ናይ ኮምፕዩተር ስራሕ ሓፈሻዊ),,gide
655,Computer Operators,ኮምፑተር ኦፕሬተራት,,gide
656,Computer Programmers,ኮምፑተር ፕሮግራመር,,gide
657,Computer Repairers,ጽገና ኮምፒዩተር,,gide
658,Computer Scientists,ሊቃውንቲ ኮምፕዩተር,,gide
659,Computer Software Engineers,ናይ ኮምፒዩተር ሶፍትዌር ኢንጂነሪንግ,,gide
660,Computer Support Specialists,ክኢላ ደገፍ ኮምፕዩተር,,gide
661,Computer Systems Administrators,ኣመሓዳሪ ኮምፕዩተር ሲስተምስ,,gide
662,Computer Systems Analysts,ተንታኒ ኮምፕዩተር ሲስተምስ,,gide
663,Concierges,ሰራሕተኛ ናይ ብዙሓት ኣብ ግምት ዘህተወ ህንጻ ከም ሆቴል,,gide
664,Conciliators,ማእከላይ ዳኛ,,gide
665,Conservation Scientists,ተመራመርቲ ስነ ፍልጠት ምዕቃብ,,gide
666,Conservation Technicians,ተክኒሻን ምዕቃብ ኣግራብ,,gide
667,Construction and Related Workers,ህንጸትን ተዛመድትን ሰራሕተኛታት,,gide
668,Construction Equipment Operators,ኦፕሬተራት ህንጸት,,gide
669,Construction Inspectors,ተቖጻጸርቲ ህንጻ,,gide
670,Construction Laborers and Helpers,ሰራሕተኛታት ህንጸትን ሓገዝትን,,gide
671,Construction Managers,ኣካያዲ ህንጸት,,gide
672,Construction Trades and Extraction Workers,ኣብ ዕዮ ህንጸትን ኣብ ዕዮ ህንጸትን ይካፈሉ,,gide
673,Continuous Mining Machine Operators,ናይ ዕደና ማሺን ኦፐሬቶር,,gide
674,Control and Valve Installers and Repairers (Except Mechanical Door),ቁጽጽርን ዋጋ ዘለዎም መሻጥን ጽገናታትን),,gide
675,Cooks,ከሻናይ,,gide
676,Cooling and Freezing Equipment Operators and Tenders,ናይ ምዝሓልን ምብዛሕን ክእለት ኦፕሬተራትን ጅማውትን,,gide
677,Correctional Officers,ኮር ሓላፍቲ,,gide
678,Correctional Treatment Specialists,ክኢላታት ሕክምና መምርሒ,,gide
679,Correspondents,ደብዳበ,,gide
680,Cosmetologists,ክኢላታት ስነ-ቝጽሪ,,gide
681,Cost Estimators,ተመንቲ ዋጋ,,gide
682,Costume Attendants,ዋጋ ዘኽፍሉ ሰባት,,gide
683,Counselors (all other),ኣማኸርቲ),,gide
684,Counter and Rental Clerks,ናይ ሕግን ናይ ኣእምሮን ካህናት,,gide
685,Couriers and Messengers,መልእኽትን መልእኽትን,,gide
686,Court Reporters,ጋዜጠኛታት ቤት ፍርዲ,,gide
687,Craft Artists,ኣርቲስት,,gide
688,Credit Analysts,ተንተንቲ ልቓሕ,,gide
689,Credit Counselors,ምኽሪ ልቓሕ,,gide
690,Crossing Guards,ኣብ ስግግር ተሓጋጋዚ ን ከም ኣብ ጽርግያ ምስጋር ዝተሃጋገዝ,,gide
691,Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders,ምስብባር ፡ መጥሓን ፡ ማሽን ፡ ኦፕሬተራትን ጅማውትን,,gide
692,Curators,መርመርቲ,,gide
693,Customer Service Representatives,ናይ ዓሚ ተወከልቲ,,gide
694,Cutters and Trimmers (Hand),ቆረጽትን ኣመዓራረይትን ን ንቢኢድ ዝስራሕ),,gide
695,Cutting and Slicing Machine Setters, Operators, and Tenders,ማሽን ፡ ኦፕሬተራትን ጅማትን,,gide
696,Dancers,ሳዕስዒት,,gide
697,Data Entry Keyers,መእተዊ ሓበሬታ,,gide
698,Database Administrators,ኣመሓደርቲ ማዕከን ዳታ,,gide
699,Delivery Truck Drivers and Driver/Sales Workers,ሰራሕተኛን ናይ ጽዕነት መካይን,,gide
700,Demonstrators and Product Promoters,መርኣያታትን መፍረይትን ናይ ውጺት ኣታባባዕን,,gide
701,Dental Assistants,ናይ ስኒ ሓገዝ,,gide
702,Dental Hygienists,ናይ ስኒ ህየሳ,,gide
703,Dental Laboratory Technicians,ናይ ስኒ ላባራቶሪ ቴክኒካት,,gide
704,Dentists,ሓኪም ስኒ,,gide
705,Derrick Operators (Oil and Gas),ኦፕሬተራት ደርቂ (Derrick Operators (Oil and Gas)),,gide
706,Designers (all other),ዲዛይነራት (Designers (all other)),,gide
707,Desktop Publishers,ደስክቶፕ ሓተምቲ,,gide
708,Development Managers,ናይ ምዕባለ ኣካየድቲ ስራሕ,,gide
709,Diagnostic Medical Sonographers,ኣዳለውቲ ሕክምና ወዲ,,gide
710,Diesel Service Technicians and Mechanics,ናይ ናፍታ ኣገልግሎት ቴክኒሻናትን ሜካኒካንን,,gide
711,Dietitians,ኪኢላታት ስነ ኣመጋግባ,,gide
712,Directors - Film, Theater,ዳይረክተራት - ፊልምን ትያትርን,,gide
713,Directors - Music,ዳይረክተራት ሙዚቃ,,gide
714,Dishwashers,ሓጸብቲ ኣቕሑ,,gide
715,Dispatchers (Except Police, Fire, and Ambulance),ናይ ህጹጽን ዘይህጹጽን ተለፎናት ተቐባልን ጸሓፍን ሓበሬታ ኣመሓላላፍን(Dispatchers (Except Police, Fire, and Ambulance)),,gide
716,Dispatchers (Police, Fire, and Ambulance),ናይ ህጹጽን ዘይህጹጽን ተለፎናት ተቐባልን ጸሓፍን ሓበሬታ ኣመሓላላፍን(Dispatchers (Police, Fire, and Ambulance)),,gide
717,Doctors,ሓካይም,,gide
718,Door-to-Door Sales Workers, News and Street Vendors, and Related Workers,ካብ ቤት ናብ ቤት እናኸዱ ዝሰርሑ ሰልሰኛታት ፡ ዜናታትን ጐደናታትን ዝሰርሑ ፡ ከምኡ ውን እተራኸቡ ሰራሕተኛታት,,gide
719,Drafters,ቅብኣት,,gide
720,Drywall Installers,ጽኑዕ መእሰሪ,,gide
721,Earth Drillers (Except Oil and Gas),ኮዓትቲ ምድሪ (Earth Drillers (Except Oil and Gas)),,gide
722,Economists,ክኢላታት ስነ-ቁጠባ,,gide
723,Editors,ኣሰናዳእቲ,,gide
724,Education Administrators - Elementary, Middle, and High School,ኣመሓደርቲ መባእታን ማእከላይን ካልኣይን ደረጃ ትምህርቲ,,gide
725,Education Administrators - Postsecondary,ኣመሓደርቲ ትምህርቲ - ርእሰ-ምትእምማን,,gide
726,Education Administrators,ኣመሓደርቲ ትምህርቲ,,gide
727,Education, Training, and Library Workers,ትምህርትን ስልጠናን ሰራሕተኛታት ቤተ መጻሕፍትን,,gide
728,Electrical and Electronics Engineering Technicians,ኤለትሪካዊን ኤሌክትሮኒካዊን ኢንጂነሪንግ ቴክኒሻናት,,gide
729,Electrical and Electronics Engineers,ኤለትሪካውን ኤሌክትሮኒካውን ኢንጂነራት,,gide
730,Electrical and Electronics Engineers,ኤለትሪካውን ኤሌክትሮኒካውን ኢንጂነራት,,gide
731,Electrical and Electronics Installers and Repairers,ኤለክትሪካውን ኤለክትሮኒካውን ናውቲ ፡ ከምኡውን ጽገና,,gide
732,Electricians,ኤሌትሪክ,,gide
733,Electro-mechanical Technicians,ኤለክትሮ-መካኒካዊ መሳርሒታት,,gide
734,Electronic Home Entertainment Equipment Installers and Repairers,ኤለክትሮኒካዊ ምዝንጋዕ ቤት ፡ ኣባይትን ጸገንቲን,,gide
735,Elementary School Principals,መባእታዊ ስርዓታት ቤት ትምህርቲ,,gide
736,Elementary School Teachers,መምህራን መባእታ ቤት ትምህርቲ,,gide
737,Elevator Installers and Repairers,ብራኸ ዘለዎ መዝሓሊታትን ጸገንቲ,,gide
738,Embalmers,ካብ ኣካላት ወዲ ሰብ ፈሳሲ ንከይወጽእ ዝከላከል ዝገብሩ,,gide
739,Emergency Management Directors,ህጹጽ መምርሒ ምሕደራ,,gide
740,Emergency Medical Technicians (EMTs),ሃንደበታዊ ናይ ሕክምና ክኢላታት (Emergency Medical Technicians (EMTs)),,gide
741,Emergency Response Dispatchers,ህጹጽ ምላሽ ወይቦ,,gide
742,Engineering Managers,ኣካየድቲ ምህንድስና,,gide
743,Engineering Technicians, except Drafters (all other),ክኢላታት ሞያ ምህንድስና ፡ ብዘይካ ድራር (Engineering Technicians, except Drafters (all other)),,gide
744,Entertainers and Performers, Sports and Related Workers (all other),ኣዘናጋዕትን ገያሾን ፡ ስፖርተኛታትን ተዛመድቲ ሰራሕተኛታትን (Entertainers and Performers, Sports and Related Workers (all other)),,gide
745,Entertainment Attendants and Related Workers (all other),ናይ መዘናግዒ ቦታታትን ናይ ስራሕ ሰራሕተኛታትን (Entertainment Attendants and Related Workers (all other)),,gide
746,Environmental Engineering Technicians,ናይ ኣከባቢ ኢንጂነሪንግ ተክኒሻናት,,gide
747,Environmental Engineers,ንኣከባቢያዊ ኣሰራርሓ ዝሕግዙ ኢንጂነራት,,gide
748,Environmental Engineers,ንኣከባቢያዊ ኣሰራርሓ ዝሕግዙ ኢንጂነራት,,gide
749,Environmental Science and Protection Technicians,ኣከባብያዊ ስነ-ፍልጠትን ሓልየት ውሃብቲ ቴክኒክን,,gide
750,Environmental Scientists and Specialists,ተመራመርቲ ስነ-ኣከባብያዊ ስነ-ፍልጠትን ክኢላታት ስነ-ፍልጠትን,,gide
751,Epidemiologists,ክኢላታት ስነ ሕማም ቅዛነት,,gide
752,Etchers and Engravers,ዕጨይትን ነጋዶን,,gide
753,Exercise Physiologists,ክኢላታት ሕክምና,,gide
754,Explosives Workers, Ordnance Handling Experts, and Blasters,ንሰራሕተኛታትን ስሪትን ኤንድ ኤንድ ፍላይድ,,gide
755,Extraction Worker Helpers,ወሃብቲ ተወሳኺ ሓገዝ,,gide
756,Extraction Workers (all other),ሰራሕተኛታት ተወሳኺ ስራሕ (Extraction Workers (all other)),,gide
757,Extruding and Forming Machine Setters, Operators, and Tenders (Synthetic and Glass Fibers),ማሽን ፡ ኦፕሬተራትን ጅማውትን (Extruding and Forming Machine Setters, Operators, and Tenders (Synthetic and Glass Fibers)),,gide
758,Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders,ማሽን ኦፕሬተርን ጅማውትን,,gide
759,Fabric and Apparel Patternmakers,ፈጠራውነትን ኣርባሒ ስእልን,,gide
760,Fabric Menders (Except Garment),ዓለባ መንደር (Fabric Menders (Except Garment)),,gide
761,Fabricators,ዓለባ,,gide
762,Family Therapists,ሕክምና ስድራ ቤት,,gide
763,Farm Labor Contractors,ኮንትራክተራት ሕርሻ,,gide
764,Farmers,ሓረስቶት,,gide
765,Farming, Fishing, and Forestry Workers,ሕርሻን ምግፋፍ ዓሳን ሰራሕተኛታት ዱርን,,gide
766,Fashion Designers,ዲዛይነራት ፋሽን,,gide
767,Fence Erectors,ሓጸርቲ ሓጹር,,gide
768,Film Editors,ኣሰናዳእቲ ፊልም,,gide
769,Financial Analysts,ተንተንቲ ገንዘብ,,gide
770,Financial Clerks,ናይ ገንዘብ ኣቕሽሽቲ,,gide
771,Financial Examiners,ገንዘባዊ እቶት,,gide
772,Financial Managers,ኣካየድቲ ገንዘብ,,gide
773,Financial Services Sales Agents,ናይ ገንዘብ ኣገልግሎት መሳለጥያታት,,gide
774,Financial Specialists,ናይ ገንዘብ ክኢላታት,,gide
775,Fine Artists,ሰኣላይ፣ጸራባይ፣ኮሓላይ ን ስእሊ፣ ቤትሮታት ዝኣመሰሉ,,gide
776,Fire Fighting and Prevention Workers,ሰራሕተኛታት ምክልኻልን ሓዊ,,gide
777,Fire Inspectors and Investigators,መርመርቲ መጥፋእቲ ሓዊን መርመርትን,,gide
778,Firefighters,መጥፋእቲ ሓዊ,,gide
779,First-line Supervisors of Protective Service Workers (all other),ኣብ ቀዳማይ መስመር ዝሰርሑ ተቖጻጸርቲ ናይ ዕቝባ ኣገልግሎት (First-line Supervisors of Protective Service Workers (all other)),,gide
780,Fishing Workers,ሰራሕተኛታት ዓሳ,,gide
781,Fitness Trainers and Instructors,ናይ የሆዋ መሰኻኽር ኣሰልጠንትን መምህራንን,,gide
782,Flight Attendants,ሓለውቲ በረራ,,gide
783,Flight Engineers,ኢንጂነራት በረራ,,gide
784,Flight Engineers,ኢንጂነራት በረራ,,gide
785,Floor Layers,ናይ ደርቢ ላይተር,,gide
786,Floor Sanders and Finishers,ባይታ ሳንደርስን ፊንሸራትን,,gide
787,Floral Designers,መዳቢ፣ኣንቃጺ፣ኣጸባባቒ  ነዳፊ ን ዕንባባታት,,gide
788,Food and Beverage Serving and Related Workers,ኣዳላዊ መግቢን መስተን ምስኡ ዝተሓሓዝ ሰራሕተኛ,,gide
789,Food Preparation and Serving Workers,ኣዳላዊ መግብን መስተን ኣገልጋሊ ሰራሕተኛታትን,,gide
790,Food Preparation Workers,ዕዮ ምድላው ምግቢ,,gide
791,Food Processing Workers,መስርሕ መግቢ ሰራሕተኛታት,,gide
792,Food Science Technicians,ናይ ምግቢ ሳይንስ ቴክኒካት,,gide
793,Food Scientists,ክኢላታት ስነ-መግቢ,,gide
794,Food Service Managers,ኣካየድቲ ስራሕ ኣገልግሎት መግቢ,,gide
795,Forensic Science Technicians,ክኢላታት ስነ-ፍልጠት ቅድመ-ኵነት,,gide
796,Forest and Conservation Technicians,ክኢላታት ሕክምና ዱርን ስነ-ቝጠባን,,gide
797,Forest and Conservation Workers,ሰራሕተኛታት ዱርን ዕቃበን,,gide
798,Forest Fire Inspectors and Prevention Specialists,ክኢላታት ምክልኻል ባርዕ ጫካ,,gide
799,Foresters,ስነ ገረብ,,gide
800,Fundraisers,መዋፈሪ,,gide
801,Fundraising Managers,ሓለፍቲ ፈንድ,,gide
802,Funeral Attendants,ናይ ቀብሪ ተኣከብቲ ጸብጻባይ,,gide
803,Funeral Service Workers,ናይ ቀብሪ ሰራሕተኛታት,,gide
804,Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders,እቶን ፡ ድርዒ ፡ ናይ ኬት ኦፕሬተራትን ጅማውትን,,gide
805,Gaming Change Persons and Booth Cashiers,ምቅይያራት ጋህስን ምትሕልላፍ ቦትን,,gide
806,Gaming Services Workers,ሰራሕተኛታት ግልጋሎት ጊዘ,,gide
807,Gaming Surveillance Officers,ሓለውቶም,,gide
808,Gas Compressor and Gas Pumping Station Operators,ንቴሌፎናት ጋዝን ንቴሌፎናት ጋዝ,,gide
809,Gas Plant Operators,ተኸናኸንቲ ጋዝ,,gide
810,General Maintenance and Repair Workers,ሓፈሻዊ ሓለዋን ጽገናን ሰራሕተኛታት,,gide
811,General Office Clerks,ናይ ቤት ጽሕፈት ዋና ጸሓፊ,,gide
812,General Office Clerks,ናይ ቤት ጽሕፈት ዋና ጸሓፊ,,gide
813,Genetic Counselors,ጀነቲካዊ ምኽሪ,,gide
814,Geographers,ኣዳለውቲ መዝገበ ቃላት,,gide
815,Geological Engineers,ጂኦሎጂካዊ ኢንጅነሪንግ,,gide
816,Geological Engineers,ጂኦሎጂካዊ ኢንጅነሪንግ,,gide
817,Geological Technicians,ክኢላታት ስነ-መሬት,,gide
818,Geoscientists,ክኢላታት ስነ ፍልጠት,,gide
819,Glaziers,ግላዝቦርስ,,gide
820,Graders and Sorters (Agricultural Products),ተመራመርትን ጋዜጠኛታትን (Graders and Sorters (Agricultural Products)),,gide
821,Graduate Teaching Assistants,ምሩቓት ናይ ትምህርቲ ሓገዝቲ,,gide
822,Graphic Designers,ዲዛይነራት ስእሊ,,gide
823,Grinding and Polishing Workers (Hand),ምጥሓንን ምብልሻውን ሰራሕተኛታት (Grinding and Polishing Workers (Hand)),,gide
824,Grounds Maintenance Workers,ምኽኒያት ሰራሕተኛታት,,gide
825,Hairstylists,ስነ ጸጉሪ,,gide
826,Hand Laborers,ሸቃሎ,,gide
827,Hazardous Materials Removal Workers,ሰራሕተኛ ናይ ሓደጋ ነገራት ኣለይቲን ኣጽረይትን,,gide
828,Head Cooks,ርእሰ ከሸንቲ,,gide
829,Health and Safety Engineers,ናይ ጥዕናን ድሕንነትን ኢንጂነራት,,gide
830,Health Diagnosing and Treating Practitioners,ናይ ጥዕና መመርመሪን ሕክምናን ሓኻይም,,gide
831,Health Educators and Community Health Workers,ትምህርቲ ጥዕናን ማሕበረሰብ ሰራሕተኛ ጥዕናን,,gide
832,Health Information Technicians,ናይ ጥዕና ሓበሬታ ክኢላታት ቴክኒካት,,gide
833,Health Services Managers,ኣካየድቲ ናይ ጥዕና ኣገልግሎታት,,gide
834,Health Technologists and Technicians,ናይ ጥዕና ቴክኖሎጅታትን ቴክኒሻናትን,,gide
835,Healthcare Practitioners and Technical Workers,ሰብሞያ ክንክን ጥዕናን ቴክኒካዊ ሰራሕተኛታትን,,gide
836,Healthcare Support Workers ,ናይ ክንክን ጥዕና ደገፍ ሰራሕተኛታት,,gide
837,Hearing Officers,ሰማዕቲ መኰንናት,,gide
