id,english,tigrina,registeredby
220,usage,"ኣጠቓቕማ",56
221,&,"ከምኡ ውን",NULL
222,%,perscentage,NULL
223,@,ኣብ,NULL
224,=,ይኸውን,NULL
225,+,ተደመሮ,NULL
226,-,ዝኮደሉ,NULL
227,/,ዝተመቕሎ,NULL
228,"test","ፈተና","gide"
229,Hello,ሰላማት,"gide"
230,afghanistan,ኣፍጋኒስታን,gide
231,land islands,ኣይዝላንድ,gide
232,albania,ኣልባንያ,gide
233,algeria,ኣልጀሪኣ,gide
234,american samoa,ሳሞኣ ኣመሪካ,gide
235,andorra,ኣንዶራ,gide
236,angola,ኣንጎላ,gide
237,anguilla,ኣንጒላ,gide
238,antarctica,ኣንታርክቲካ,gide
239,antigua and barbuda,ኣንቲጓ,gide
240,argentina,ኣርገንቲና,gide
241,armenia,ኣርመኒያ,gide
242,aruba,ኣሩባ,gide
243,australia,ኣወስትራልያ,gide
244,austria,ኣውስትሪያ,gide
245,azerbaijan,ኣዘርበይጃን,gide
246,bahamas,ባሃማስ,gide
247,bahrain,ባሕርያን,gide
248,bangladesh,ባንግላዲሽ,gide
249,barbados,ባርባዶስ,gide
250,belarus,በላሩስ,gide
251,belgium,በልጅም,gide
252,belize,በሊዘ,gide
253,benin,በኒን,gide
254,bermuda,በርሙዳ,gide
255,bhutan,ብሁታን,gide
256,bolivia,ቦሊቭያ,gide
257,bosnia and herzegovina,ቦስንያ ሀርዘጎቪና,gide
258,botswana,ቦትስዋና,gide
259,bouvet island,ቦውቨት ኣይዝላንድ,gide
260,brazil,ብራዚል,gide
261,british indian ocean territory,ግዚኣት ኢንግሊዝ ህንዳዊ ውቅያኖስ,gide
262,brunei darussalam,ብሩነይ ዳሩሳላም,gide
263,bulgaria,ቡልጋሪያ,gide
264,burkina faso,ቡርኪ ነፋሶ,gide
265,burundi,ቡሩንዲ,gide
266,cambodia,ኮምቦዲያ,gide
267,cameroon,ካመሮን,gide
268,canada,ካናዳ,gide
269,cape verde,ኬፕ ቨርደ,gide
270,cayman islands,ካይማን ኣይዝላንድ,gide
271,central african republic,ሪፓብሊክ ማእከላይ ኣፍሪቃ,gide
272,chad,ጫድ,gide
273,chile,ቺለ,gide
274,china,ቻይና,gide
275,christmas island,ክሪስትማ ኣይዝላንድ,gide
276,cocos (keeling) islands,ኮኮስ ኣይዝላንድ,gide
277,colombia,ኮሎምቢያ,gide
278,comoros,ኮሞሮስ,gide
279,congo,ኮንጎ,gide
280,"congo, the democratic republic of the",ኮንጎ,gide
281,cook islands,ኮክ ኣይዝላንድ,gide
282,costa rica,ኮስታል ሪካ,gide
283,cote d'ivoire,ኣይቮሪኮስት,gide
284,croatia,ክሮሽያ,gide
285,cuba,ኩባ,gide
286,cyprus,ሲፕሩስ,gide
287,czech republic,ስዘች ረፓብሊክ,gide
288,denmark,ደንማርክ,gide
289,djibouti,ጅቡቲ,gide
290,dominica,ዶሚኒካ,gide
291,dominican republic,ረፓብሊክ ዶሚኒካ,gide
292,ecuador,ኢካዶር,gide
293,egypt,ግብጺ,gide
294,el salvador,አል ሳልቫዶር,gide
295,equatorial guinea,ኢኳተሪያል ጊኒ,gide
296,eritrea,ኤርትራ,gide
297,estonia,ኢስቶኒያ,gide
298,ethiopia,ኢትዮጵያ,gide
299,falkland islands (malvinas),ፋልክላንድ ኣይዝላንድ,gide
300,faroe islands,ፎሮኢ ኣይዝላንድ,gide
301,fiji,ፊጂ,gide
302,finland,ፊንላንድ,gide
303,france,ፈረንሳ,gide
304,french guiana,ፍራንስ ጒና,gide
305,french polynesia,ፍረንች ፖልይነሽያ,gide
306,french southern territories,ፍረንች ደቡባዊ ግዝኣት,gide
307,gabon,ጋቦን,gide
308,gambia,ጋምብያ,gide
309,georgia,ጆርጅያ,gide
310,germany,ጀርመን,gide
311,ghana,ጋና,gide
312,gibraltar,ጊብራልታር,gide
313,greece,ግሪኽ,gide
314,greenland,ግሪንላንድ,gide
315,grenada,ግረናደ,gide
316,guadeloupe,ጓደሎኡፕ,gide
317,guam,ጓም,gide
318,guatemala,ጓቲማላ,gide
319,guernsey,ጐርንሰይ,gide
320,guinea,ጊኒ,gide
321,guinea-bissau,ጊኒ ቢሳው,gide
322,guyana,ጉያና,gide
323,haiti,ሃይቲ,gide
324,heard island and mcdonald islands,ሀርድ ኣይዝላንድ,gide
325,holy see (vatican city state),ቫቲካን,gide
326,honduras,ሆንዱራስ,gide
327,hong kong,ሆንኮንግ,gide
328,hungary,ሃንጋሪ,gide
329,iceland,ኣይስላንድ,gide
330,india,ህንዲ,gide
331,indonesia,ኢንዶነጅያ,gide
332,"iran, islamic republic of",ኢራን,gide
333,iraq,ዒራቕ,gide
334,ireland,ኣየርላንድ,gide
335,isle of man,ኣይዝለ ማን,gide
336,israel,እስራኤል,gide
337,italy,ጣልያን,gide
338,jamaica,ጀማይካ,gide
339,japan,ጃፓን,gide
340,jersey,ጀርሰይ,gide
341,jordan,ጆርዳን,gide
342,kazakhstan,ካዛክሽታን,gide
343,kenya,ኬንያ,gide
344,kiribati,ኪሪባቲ,gide
345,"korea, democratic people's republic of",ኮርያ,gide
346,"korea, republic of",ኮርያ,gide
347,kuwait,ኩወይት,gide
348,kyrgyzstan,ክይርጊስታን,gide
349,lao people,ላዮ ፒፕል,gide
350,latvia,ላቲቭያ,gide
351,lebanon,ሊባኖን,gide
352,lesotho,ለሶቶ,gide
353,liberia,ላይበሪያ,gide
354,libyan arab jamahiriya,ሊብያ,gide
355,liechtenstein,ሊችተንሰታይን,gide
356,lithuania,ሊቷንያ,gide
357,luxembourg,ላክሰምበርግ,gide
358,macao,ማኮኦ,gide
359,"macedonia, the former yugoslav republic of",ማሰዶንያ,gide
360,madagascar,ማዳጋስጋር,gide
361,malawi,ማላዊ,gide
362,malaysia,ማለጅያ,gide
363,maldives,ማልዲቨስ,gide
364,mali,ማሊ,gide
365,malta,ማልታ,gide
366,marshall islands,ማርሻል ኣይዝላንድ,gide
367,martinique,ማርቲንኪዩ,gide
368,mauritania,ማውሪታንያ,gide
369,mauritius,ማውሪቱስ,gide
370,mayotte,ማዮተ,gide
371,mexico,መክሲኮ,gide
372,"micronesia, federated states of",ሚክሮነጅያ,gide
373,"moldova, republic of",ሞልዶቫ,gide
374,monaco,ሞናኮ,gide
375,mongolia,ሞንጎልያ,gide
376,montenegro,ሞንተንግሮ,gide
377,montserrat,ሞንትሰራት,gide
378,morocco,ሞሮኮ,gide
379,mozambique,ሞዛምቢክ,gide
380,myanmar,ምያንማር,gide
381,namibia,ናሚብያ,gide
382,nauru,ናኡራ,gide
383,nepal,ነፓል,gide
384,netherlands,ነዘርላንድስ,gide
385,netherlands antilles,ነዘርላንድስ ኣንቲልያን,gide
386,new caledonia,ነው ካለዶንያ,gide
387,new zealand,ኒው ዚላንድ,gide
388,nicaragua,ኒካራጓ,gide
389,niger,ኒጀር,gide
390,nigeria,ናጀርያ,gide
391,niue,ኒኡ,gide
392,norfolk island,ኖርፎልክ ኣይዝላንድ,gide
393,northern mariana islands,ሰመናዊ ማሪያን ኣይዝላንድ,gide
394,norway,ኖርወይ,gide
395,oman,ኦማን,gide
396,pakistan,ፓኪስታን,gide
397,palau,ፓሉው,gide
398,"palestinian territory, occupied",ፍልስጠም,gide
399,panama,ፓናማ,gide
400,papua new guinea,ፓፗ ኒው ጒንያ,gide
401,paraguay,ፓራጓይ,gide
402,peru,ፐሩ,gide
403,philippines,ፊሊፒነስ,gide
404,pitcairn,ፒትካይርን,gide
405,poland,ፖላንድ,gide
406,portugal,ፖርቱጋል,gide
407,puerto rico,ፖርቶሪኮ,gide
408,qatar,ቀጠር,gide
409,reunion,ሪዩኒዮን,gide
410,romania,ሮማኒያ,gide
411,russian federation,ሩስያ,gide
412,rwanda,ርዋንዳ,gide
413,saint helena,ሳይንት ሀለና,gide
414,saint kitts and nevis,ሳይንት ኪትስ ነቪስ,gide
415,saint lucia,ሳይንት ሉሽያ,gide
416,saint pierre and miquelon,ሳይን ፒረ ሚከሎን,gide
417,saint vincent and the grenadines,ሳይንት ቪንሰንት ግረናዲነስ,gide
418,samoa,ሳሞኣ,gide
419,san marino,ሳን ማሪኖ,gide
420,sao tome and principe,ሳኦ ቶም ፕሪንሰፕ,gide
421,saudi arabia,ሱዕዲ ዓረብ,gide
422,senegal,ሰነጋል,gide
423,serbia,ሰርቢያ,gide
424,seychelles,ሰይቸለስ,gide
425,sierra leone,ሰራልዮን,gide
426,singapore,ሲንጋፖር,gide
427,slovakia,ስሎቫክያ,gide
428,slovenia,ስሎቨንያ,gide
429,solomon islands,ሶሎሞን ኣይዝላንድ,gide
430,somalia,ሶማልያ,gide
431,south africa,ደቡብ ኣፍሪቃ,gide
432,south georgia and the south sandwich islands,ደቡብ ጆርጅያ,gide
433,spain,ስፐይን,gide
434,sri lanka,ስሪላንካ,gide
435,sudan,ሱዳን,gide
436,suriname,ሱሪናም,gide
437,svalbard and jan mayen,ስቫልባርድ ያን ማየን,gide
438,swaziland,ስዋዚላንድ,gide
439,sweden,ሽወደን,gide
440,switzerland,ስዊዘርላንድ,gide
441,syrian arab republic,ሶርያ,gide
442,"taiwan, province of china",ታይዋን,gide
443,tajikistan,ታጂክስታን,gide
444,"tanzania, united republic of",ታንዛንያ,gide
445,thailand,ታይላንድ,gide
446,timor-leste,ቲሞርለሰት,gide
447,togo,ቶጎ,gide
448,tokelau,ቶከሉው,gide
449,tonga,ቶንጋ,gide
450,trinidad and tobago,ትሪኒዳድ,gide
451,tunisia,ቱኒዝያ,gide
452,turkey,ቱርኪ,gide
453,turkmenistan,ቱርክመኒስታን,gide
454,turks and caicos islands,ቱርክስ,gide
455,tuvalu,ቱቫሉ,gide
456,uganda,ኡጋንዳ,gide
457,ukraine,ዩክሬን,gide
458,united arab emirates,ዩናይትድ ኢማራት ዓረብ,gide
459,united kingdom,ኢንግሊዝ,gide
460,united states,ኣመሪካ,gide
461,united states minor outlying islands,ዩናይትድ ስተይት ሚኖር ኣይዝላንድ,gide
462,uruguay,ኡራጓይ,gide
463,uzbekistan,ኡዝበኪስታን,gide
464,vanuatu,ቫኑኡታ,gide
465,venezuela,ቨነዝወላ,gide
466,viet nam,ቬትናም,gide
467,"virgin islands, british",ቪርጂን ኣይዝላንድ ብሪጣንያ,gide
468,"virgin islands, u.s.",ቪርጅን ኣይዝላንድ ኣመሪካ,gide
469,wallis and futuna,ዋሊስ ፉቱና,gide
470,western sahara,ምዕራብ ሳህራ,gide
471,yemen,የመን,gide
472,zambia,ዛምብያ,gide
473,zimbabwe,ዚምባብወ,gide
474,hundreds,ኣማኢት,gide
475,thousands,ኣሽሓት,gide
476,millions,ሚልዮናት,gide
477,billions,ቢልዮናት,gide
478,trillions,ትሪልዮናት,gide
id,english,tigrina,registeredby
479,afghan,ኣፍጋኒስታዊ,gide
480,albanian,ኣልባኒያዊ,gide
481,algerian,ኣልጀሪያዊ,gide
482,american,ኣመሪካዊ,gide
483,andorran,ኣንዶራዊ,gide
484,angolan,ኣንጎላዊ,gide
485,anguillan,ኣንጉሊያናዊ,gide
486,argentine,ኣርጀንቲናዊ,gide
487,armenian,ኣርመኒያዊ,gide
488,australian,ኣወስትራሊያዊ,gide
489,austrian,ኣውስትርያዊ,gide
490,azerbaijani,ኣዘርባጃዊ,gide
491,bahamian,ባሃማዊ,gide
492,bahraini,ባሕርያዊ,gide
493,bangladeshi,ባንግልድሻዊ,gide
494,barbadian,ባርባድያዊ,gide
495,belarusian,በላሩስያዊ,gide
496,belgian,በልጅማዊ,gide
497,belizean,በሊዚያዊ,gide
498,beninese,በኒነስያዊ,gide
499,bermudian,በርሙዲያዊ,gide
500,bhutanese,ብሁታንሰያዊ,gide
501,bolivian,ቦሊቪያዊ,gide
502,botswanan,ቦትስዋንያዊ,gide
503,brazilian,ብራዚሊያዊ,gide
504,british,ብርጣንያዊ,gide
505,british virgin islander,ብርጣንያዊ,gide
506,bruneian,ብሩኒያዊ,gide
507,bulgarian,ቡልጋርያዊ,gide
508,burkinan,ቡርኪናን,gide
509,burmese,ቡርመስያዊ,gide
510,burundian,ቡሩንድያዊ,gide
511,cambodian,ኮምቦድያዊ,gide
512,cameroonian,ካመራዊ,gide
513,canadian,ካናዳዊ,gide
514,cape verdean,ኬፕቨርዳዊ,gide
515,cayman islander,ሳይማንያዊ,gide
516,central african,ማእከላይ ኣፍሪቃዊ,gide
517,chadian,ጫዳዊ,gide
518,chilean,ቺለዊ,gide
519,chinese,ቻይናዊ,gide
520,citizen of antigua and barbuda,ባርቡዳዊ,gide
521,citizen of bosnia and herzegovina,ሀርዞጎቪናዊ,gide
522,citizen of guinea-bissau,ጊኒቢሳዊ,gide
523,citizen of kiribati,ኪሪባቲያዊ,gide
524,citizen of seychelles,ሲሸሊሳዊ,gide
525,citizen of the dominican republic,ዶሚኒካዊ,gide
526,citizen of vanuatu,ቫኑታዊ,gide
527,colombian,ኮሎምቢያዊ,gide
528,comoran,ኮሞራንያዊ,gide
529,congolese (congo),ኮንጋዊ,gide
530,congolese (drc),ኮንጎለሳዊ,gide
531,cook islander,ኮክኣይላንዳዊ,gide
532,costa rican,ኮስታሪካዊ,gide
533,croatian,ክሮሽያዊ,gide
534,cuban,ኩባዊ,gide
535,cymraes,ሲምራስያዊ,gide
536,cymro,ስይምራዊ,gide
537,cypriot,ሳይፕሮይታዊ,gide
538,czech,ስዘቻዊ,gide
539,danish,ዳኒሻዊ,gide
540,djiboutian,ጅቡታዊ,gide
541,dominican,ዶሚኒካዊ,gide
542,dutch,ነዘርላንዳዊ,gide
543,east timorese,ቲሞረሳዊ,gide
544,ecuadorean,ኢኳዶርያዊ,gide
545,egyptian,ግብጻዊ,gide
546,emirati,ኢሚራታዊ,gide
547,english,እንግሊዛዊ,gide
548,equatorial guinean,ኢኳቶሪኣል ጊኒ,gide
549,eritrean,ኤርትራዊ,gide
550,estonian,ኢስቶንያዊ,gide
551,ethiopian,ኢትዮጵያዊ,gide
552,faroese,ፋሮስያዊ,gide
553,fijian,ፊጂያናዊ,gide
554,filipino,ፍሊፒናዊ,gide
555,finnish,ፊኒሻዊ,gide
556,french,ፈረንሳዊ,gide
557,gabonese,ጋቦናዊ,gide
558,gambian,ጋምብያዊ,gide
559,georgian,ጆርጅያዊ,gide
560,german,ጀርመናዊ,gide
561,ghanaian,ጋናዊ,gide
562,gibraltarian,ጀበልጣርያዊ,gide
563,greek,ግሪኻዊ,gide
564,greenlandic,ግሪንላንዳዊ,gide
565,grenadian,ግረናዲያናዊ,gide
566,guamanian,ጉማኒያናዊ,gide
567,guatemalan,ጓቲማላዊ,gide
568,guinean,ጒናዊ,gide
569,guyanese,ጉያነሳዊ,gide
570,haitian,ሃይትያናዊ,gide
571,honduran,ሆንዱራናዊ,gide
572,hong konger,ሆንጎንጋዊ,gide
573,hungarian,ሃንጋሪያዊ,gide
574,icelandic,ኣይስላንዳዊ,gide
575,indian,ህንዳዊ,gide
576,indonesian,ኢንዶነጅያዊ,gide
577,iranian,ኢራናዊ,gide
578,iraqi,ዒራቓዊ,gide
579,irish,ኣይሪሻዊ,gide
580,israeli,እስራኤላዊ,gide
581,italian,ኢታሊያዊ,gide
582,ivorian,ኣይቮሪያዊ,gide
583,jamaican,ጀማይካዊ,gide
584,japanese,ጃፓናዊ,gide
585,jordanian,ጆርዳናዊ,gide
586,kazakh,ካዛክሃዊ,gide
587,kenyan,ከንያዊ,gide
588,kittitian,ኪቲሻናዊ,gide
589,kosovan,ኮሶቫዊ,gide
590,kuwaiti,ኩወታዊ,gide
591,kyrgyz,ኪርጊዛዊ,gide
592,lao,ላዮዊ,gide
593,latvian,ላቲቪያዊ,gide
594,lebanese,ሊባኖሳዊ,gide
595,liberian,ላይበርያዊ,gide
596,libyan,ሊብያዊ,gide
597,liechtenstein citizen,ሊኽተንስታዊ,gide
598,lithuanian,ሊትወንያዊ,gide
599,luxembourger,ሉክሰንበርገራዊ,gide
600,macanese,መካንያዊ,gide
601,macedonian,መሰዶንያዊ,gide
602,malagasy,ማላጋሲያዊ,gide
603,malawian,ማላዊ,gide
604,malaysian,ማለጅያዊ,gide
605,maldivian,ማልዲቭያዊ,gide
606,malian,ማላዊ,gide
607,maltese,ማልታዊ,gide
608,marshallese,ማርሸላሳዊ,gide
609,martiniquais,ማርቲኒካዊ,gide
610,mauritanian,ማውሪታንያዊ,gide
611,mauritian,ማውሪታንያዊ,gide
612,mexican,ሞክሲካዊ,gide
613,micronesian,ሚክሮኒጅያዊ,gide
614,moldovan,ሞልዶቫናዊ,gide
615,monegasque,ሞነጋስካዊ,gide
616,mongolian,ሞንጎልያዊ,gide
617,montenegrin,ሞንተነግሪያዊ,gide
618,montserratian,ሞንትሰራያዊ,gide
619,moroccan,ሞሮካዊ,gide
620,mosotho,ሞሶታዊ,gide
621,mozambican,ሞዞምቢካዊ,gide
622,namibian,ናሚብያዊ,gide
623,nauruan,ናውራዊ,gide
624,nepalese,ነፓላዊ,gide
625,new zealander,ኒውዚላንዳዊ,gide
626,nicaraguan,ኒኮራጉያዊ,gide
627,nigerian,ኒጀራዊ,gide
628,nigerien,ናይጀርያዊ,gide
629,niuean,ኒኡያዊ,gide
630,north korean,ሰሜን ኮርያዊ,gide
631,northern irish,ሰሜን ኣይሪሻዊ,gide
632,norwegian,ኖርወያዊ,gide
633,omani,ኦማኒያዊ,gide
634,pakistani,ፓኪስታናዊ,gide
635,palauan,ፓላዊ,gide
636,palestinian,ፍልስጠማዊ,gide
637,panamanian,ፓናማዊ,gide
638,papua new guinean,ፓፑ ኒውጊናዊ,gide
639,paraguayan,ፓራጓዊ,gide
640,peruvian,ፐሩቪያዊ,gide
641,pitcairn islander,ፒትካርን ኣይላንደራዊ,gide
642,polish,ፖላንዳዊ,gide
643,portuguese,ፖርቱጓላዊ,gide
644,prydeinig,ፕራደኒጋዊ,gide
645,puerto rican,ፖርቶሪካዊ,gide
646,qatari,ቀጠራዊ,gide
647,romanian,ሮማዊ,gide
648,russian,ሩስያዊ,gide
649,rwandan,ሩዋንዳዊ,gide
650,salvadorean,ሳልቫዶርያዊ,gide
651,sammarinese,ሳማራዊ,gide
652,samoan,ሳሞናዊ,gide
653,sao tomean,ሳኦቶማንያዊ,gide
654,saudi arabian,ሱዕዲዓረባዊ,gide
655,scottish,ስኮታዊ,gide
656,senegalese,ሰነጋላዊ,gide
657,serbian,ሰርብያዊ,gide
658,sierra leonean,ሰራልዮናዊ,gide
659,singaporean,ሲንጋፖራዊ,gide
660,slovak,ስሎቫካዊ,gide
661,slovenian,ስሎቫንያዊ,gide
662,solomon islander,ሰሎሞን ኣይላንደር,gide
663,somali,ሶማላዊ,gide
664,south african,ደቡብ ኣፍሪቃዊ,gide
665,south korean,ደቡብ ኮርያዊ,gide
666,south sudanese,ደቡብ ሱዳናዊ,gide
667,spanish,ስጳኛዊ,gide
668,sri lankan,ስሪላንካዊ,gide
669,st helenian,ሀለንያዊ,gide
670,st lucian,ሉሽያዊ,gide
671,stateless,ስታትለስ,gide
672,sudanese,ሱዳናዊ,gide
673,surinamese,ሱራኒማዊ,gide
674,swazi,ስዋዛዊ,gide
675,swedish,ስዊድናዊ,gide
676,swiss,ስዊዛዊ,gide
677,syrian,ሶርያዊ,gide
678,taiwanese,ታይዋናዊ,gide
679,tajik,ታጅካዊ,gide
680,tanzanian,ታንዛንያዊ,gide
681,thai,ታያዊ,gide
682,togolese,ቶጎለሳዊ,gide
683,tongan,ቶንጋናዊ,gide
684,trinidadian,ትሪንዳድያዊ,gide
685,tristanian,ትሪስታንያዊ,gide
686,tunisian,ቱኒዛዊ,gide
687,turkish,ቱርካዊ,gide
688,turkmen,ቱርክማናዊ,gide
689,turks and caicos islander,ቱርክስ ኣይላንደራዊ,gide
690,tuvaluan,ቱቫላዊ,gide
691,ugandan,ኡጋንዳዊ,gide
692,ukrainian ,ዩክረናዊ,gide
693,uruguayan,ኡራጓዊ,gide
694,uzbek,ኡዝበካዊ,gide
695,vatican citizen,ቫቲካናዊ,gide
696,venezuelan,ቨነዝወላዊ,gide
697,vietnamese,ቨትናማዊ,gide
698,vincentian,ቪንሰንታዊ,gide
699,wallisian,ዋሊሳዊ,gide
700,welsh,ወልሻዊ,gide
701,yemeni,የመናዊ,gide
702,zambian,ዛምብያዊ,gide
703,zimbabwean,ዚምባብወዊ,gide
704,afghan,ኣፍጋኒስታዊት,gide
705,albanian,ኣልባኒያዊት,gide
706,algerian,ኣልጀሪያዊት,gide
707,american,ኣመሪካዊት,gide
708,andorran,ኣንዶራዊት,gide
709,angolan,ኣንጎላዊት,gide
